Level,Skenario,Instruksi Plan,Model,session,Keberhasilan Pembuatan Plan,Keberhasilan Plan Jarak Terpendek,Keberhasilan Analisis Objek,Keberhasilan Navigasi,Keberhasilan Penambahan/Intervensi User,Total Waktu Session (s),Total Token Session,Jumlah call tool,Jumlah Turn User
mudah,"Skenario 1 (Happy Path): Inspeksi 1 APAR berkondisi normal, Tanpa intervensi user,",tolong inspeksi satu APAR terdekat di lantai 9,"gemini-2,5-flash",623,TRUE,TRUE,1/1,1/1,-,"84,89",34.922,5,2
mudah,"Skenario 2 (Anomaly Path): Inspeksi 1 APAR dengan anomali 'apar di lantai', Tanpa intervensi user,",tolong periksa kondisi satu APAR terdekat di lantai 9,"gemini-2,5-flash",625,TRUE,TRUE,1/1,1/1,-,"64,54",32.876,5,2
mudah,"Skenario 3 (HITL Path - Intervensi tipe A): Inspeksi 1 APAR dengan anomali 'selang tidak terpasang pada clip body', Dengan intervensi user mengubah plan sebelum dimulai (meminta robot duduk setelah inspeksi selesai),",tolong inspeksi satu APAR terdekat di lantai 9,"gemini-2,5-flash",627,TRUE,TRUE,1/1,1/1,TRUE,"150,29",52.467,6,4
sedang,"Skenario 1 (Happy Path): Inspeksi 3 objek berbeda (1 APAR, 1 stop kontak, 1 tong sampah) yang semuanya normal, Tanpa intervensi user,","tolong lakukan inspeksi pada satu APAR, satu stop kontak, dan satu tong sampah terdekat di lantai 9","gemini-2,5-flash",677,TRUE,TRUE,3/3,3/3,-,"295,61",125.978,13,4
sedang,"Skenario 2 (Anomaly Path): Inspeksi 3 objek berbeda (1 APAR dengan anomali 'selang tidak terpasang pada clip body', 1 stop kontak dengan anomali 'terdapat steker', 1 tong sampah dengan anomali 'tong sampah berantakan banyak sampah'), Tanpa intervensi user,","inspeksi satu APAR, satu stop kontak, dan satu tong sampah terdekat di lantai 9","gemini-2,5-flash",689,TRUE,TRUE,2/3,3/3,-,"285,75",111.419,13,4
sedang,"Skenario 3 (HITL Path - Intervensi tipe C): Inspeksi 2 objek berbeda (1 APAR dengan anomali 'selang tidak terpasang pada clip body', 1 stop kontak normal'), Dengan intervensi user menambah plan di tengah misi inspeksi 1 tong sampah dengan anomali 'tong sampah tidak tiga","tolong periksa satu APAR, dan satu stop kontak terdekat di lantai 9","gemini-2,5-flash",693,TRUE,TRUE,3/3,3/3,TRUE,"335,43",126.673,13,5
sulit,"Skenario 1 (Happy Path): Inspeksi 6 objek (2 APAR, 2 stop kontak, 2 tong sampah), Kondisi: 3 objek normal, 3 objek anomali (1 APAR di lantai, 1 steker rusak, 1 tong sampah tidak tiga), Tanpa intervensi user,","tolong lakukan inspeksi ke dua APAR, dua stop kontak, dan dua tong sampah terdekat di lantai 9","gemini-2,5-flash",698,TRUE,TRUE,6/6,6/6,-,"591,96",248.842,19,7
sulit,"Skenario 2 (HITL Path - Intervensi tipe A): Inspeksi 6 objek target awal (1 APAR norma, 1 APAR di lantai, 1 APAR selang tidak terpasang pada clip body, , 1 stop kontak steker rusak, 1 tong sampah hanya dua) kondisi campuran, Dengan intervensi user mengubah plan sebelum dimulai (membatalkan 1 stop kontak dan menambah 1 tong sampah dengan anomali 'tong sampah berantakan banyak sampah'),","tolong inspeksi tiga APAR, dua stop kontak, dan satu tong sampah terdekat di lantai 9","gemini-2,5-flash",700,TRUE,FALSE,5/6,6/6,TRUE,"775,59",279.289,19,8
sulit,"Skenario 3 (HITL Path - Intervensi tipe B): Inspeksi 6 objek (1 APAR norma, 1 APAR di lantai, 2 APAR selang tidak terpasang pada clip body, 1 stop kontak normal, 1 tong sampah berserakan) kondisi campuran, Dengan intervensi user tipe B (saat robot sampai di salah satu APAR yang memiliki anomali 'selang tidak terpasang pada clip body', user menginstruksikan robot untuk maju mendekat 0,5 meter sebelum mengambil gambar),","tolong periksa empat APAR, satu stop kontak, dan satu tong sampah terdekat di lantai 9","gemini-2,5-flash",755,TRUE,FALSE,4/6,6/6,TRUE,"862,10",369.609,24,10
mudah,"Skenario 1 (Happy Path): Inspeksi 1 APAR berkondisi normal, Tanpa intervensi user,",tolong inspeksi satu APAR terdekat di lantai 9,"gemini-3,1-pro-preview",624,TRUE,TRUE,1/1,1/1,-,"110,43",30.631,5,2
mudah,"Skenario 2 (Anomaly Path): Inspeksi 1 APAR dengan anomali 'apar di lantai', Tanpa intervensi user,",tolong periksa kondisi satu APAR terdekat di lantai 9,"gemini-3,1-pro-preview",626,TRUE,TRUE,1/1,1/1,-,"93,48",30.898,5,2
mudah,"Skenario 3 (HITL Path - Intervensi tipe A): Inspeksi 1 APAR dengan anomali 'selang tidak terpasang pada clip body', Dengan intervensi user mengubah plan sebelum dimulai (meminta robot duduk setelah inspeksi selesai),",tolong inspeksi satu APAR terdekat di lantai 9,"gemini-3,1-pro-preview",628,TRUE,TRUE,1/1,1/1,TRUE,"145,12",45.712,6,4
sedang,"Skenario 1 (Happy Path): Inspeksi 3 objek berbeda (1 APAR, 1 stop kontak, 1 tong sampah) yang semuanya normal, Tanpa intervensi user,","tolong lakukan inspeksi pada satu APAR, satu stop kontak, dan satu tong sampah terdekat di lantai 9","gemini-3,1-pro-preview",686,TRUE,TRUE,3/3,3/3,-,"294,14",173.103,15,4
sedang,"Skenario 2 (Anomaly Path): Inspeksi 3 objek berbeda (1 APAR dengan anomali 'selang tidak terpasang pada clip body', 1 stop kontak dengan anomali 'terdapat steker', 1 tong sampah dengan anomali 'tong sampah berantakan banyak sampah'), Tanpa intervensi user,","inspeksi satu APAR, satu stop kontak, dan satu tong sampah terdekat di lantai 9","gemini-3,1-pro-preview",691,TRUE,FALSE,3/3,3/3,-,"277,23",115.623,13,4
sedang,"Skenario 3 (HITL Path - Intervensi tipe C): Inspeksi 2 objek berbeda (1 APAR dengan anomali 'selang tidak terpasang pada clip body', 1 stop kontak normal'), Dengan intervensi user menambah plan di tengah misi inspeksi 1 tong sampah dengan anomali 'tong sampah tidak tiga","tolong periksa satu APAR, dan satu stop kontak terdekat di lantai 9","gemini-3,1-pro-preview",695,TRUE,TRUE,3/3,3/3,TRUE,"250,91",128.318,13,5
sulit,"Skenario 1 (Happy Path): Inspeksi 6 objek (2 APAR, 2 stop kontak, 2 tong sampah), Kondisi: 3 objek normal, 3 objek anomali (1 APAR di lantai, 1 steker rusak, 1 tong sampah tidak tiga), Tanpa intervensi user,","tolong lakukan inspeksi ke dua APAR, dua stop kontak, dan dua tong sampah terdekat di lantai 9","gemini-3,1-pro-preview",699,TRUE,TRUE,6/6,6/6,-,"681,65",318.511,19,7
sulit,"Skenario 2 (HITL Path - Intervensi tipe A): Inspeksi 6 objek target awal (1 APAR norma, 1 APAR di lantai, 1 APAR selang tidak terpasang pada clip body, , 1 stop kontak steker rusak, 1 tong sampah hanya dua) kondisi campuran, Dengan intervensi user mengubah plan sebelum dimulai (membatalkan 1 stop kontak dan menambah 1 tong sampah dengan anomali 'tong sampah berantakan banyak sampah'),","tolong inspeksi tiga APAR, dua stop kontak, dan satu tong sampah terdekat di lantai 9","gemini-3,1-pro-preview",701,TRUE,TRUE,5/6,6/6,TRUE,"560,26",332.709,19,8
